path,slug,title,date,expiryDate,publishDate,draft,permalink,kind,section
content/_index.md,,AI-Driven Business Systems for Local Companies,2026-07-01T06:00:00-05:00,0001-01-01T00:00:00Z,2026-07-01T06:00:00-05:00,false,https://localbusinesssearch.com/,home,
content/blog/dropdown-navigation-needs-feedback.md,,Dropdown Navigation Needs Structure and Feedback,2026-07-01T06:00:00-05:00,0001-01-01T00:00:00Z,2026-07-01T06:00:00-05:00,false,https://localbusinesssearch.com/blog/dropdown-navigation-needs-feedback/,page,blog
content/blog/_index.md,,Insights & Resources,2026-07-01T06:00:00-05:00,0001-01-01T00:00:00Z,2026-07-01T06:00:00-05:00,false,https://localbusinesssearch.com/blog/,section,blog
content/blog/monthly-reviews-should-produce-corrections.md,,"Monthly Reviews Should Produce Corrections, Not Just Reports",2026-07-01T06:00:00-05:00,0001-01-01T00:00:00Z,2026-07-01T06:00:00-05:00,false,https://localbusinesssearch.com/blog/monthly-reviews-should-produce-corrections/,page,blog
content/blog/website-not-live-until-dns-agrees.md,,A Website Is Not Live Until DNS Says So,2026-06-30T06:00:00-05:00,0001-01-01T00:00:00Z,2026-06-30T06:00:00-05:00,false,https://localbusinesssearch.com/blog/website-not-live-until-dns-agrees/,page,blog
content/blog/claim-hygiene-is-website-qa.md,,Claim Hygiene Is Part of Website QA,2026-06-29T06:00:00-05:00,0001-01-01T00:00:00Z,2026-06-29T06:00:00-05:00,false,https://localbusinesssearch.com/blog/claim-hygiene-is-website-qa/,page,blog
content/blog/website-forms-need-source-routing-before-crm.md,,Every Website Form Needs Source Routing Before It Needs a CRM,2026-06-29T06:00:00-05:00,0001-01-01T00:00:00Z,2026-06-29T06:00:00-05:00,false,https://localbusinesssearch.com/blog/website-forms-need-source-routing-before-crm/,page,blog
content/blog/static-site-builds-should-not-rewrite-every-page.md,,Your Static Site Build Should Not Rewrite Every Page,2026-06-26T06:00:00-05:00,0001-01-01T00:00:00Z,2026-06-26T06:00:00-05:00,false,https://localbusinesssearch.com/blog/static-site-builds-should-not-rewrite-every-page/,page,blog
content/blog/structured-data-needs-verified-facts.md,,"Structured Data Needs Verified Facts, Not Guesses",2026-06-25T06:00:00-05:00,0001-01-01T00:00:00Z,2026-06-25T06:00:00-05:00,false,https://localbusinesssearch.com/blog/structured-data-needs-verified-facts/,page,blog
content/blog/public-url-private-repo-website-launch.md,,The Website Link Is Not the GitHub Repo,2026-06-25T06:00:00-05:00,0001-01-01T00:00:00Z,2026-06-25T06:00:00-05:00,false,https://localbusinesssearch.com/blog/public-url-private-repo-website-launch/,page,blog
